,user_movie,user_movie_rating
0,Ace Ventura: When Nature Calls (1995),3.0
1,Clueless (1995),4.0
2,Pocahontas (1995),5.0
3,Apollo 13 (1995),5.0
4,First Knight (1995),3.0
5,Mighty Morphin Power Rangers: The Movie (1995),3.0
6,"Net, The (1995)",5.0
7,Dolores Claiborne (1995),4.0
8,Little Women (1994),5.0
9,Mary Shelley's Frankenstein (Frankenstein) (1994),4.0
10,Miracle on 34th Street (1994),5.0
11,Pulp Fiction (1994),1.0
12,Star Trek: Generations (1994),4.0
13,What's Eating Gilbert Grape (1993),3.0
14,Ace Ventura: Pet Detective (1994),4.0
15,Clear and Present Danger (1994),5.0
16,"Client, The (1994)",5.0
17,"Flintstones, The (1994)",4.0
18,Forrest Gump (1994),4.0
19,Four Weddings and a Funeral (1994),3.0
20,"Lion King, The (1994)",5.0
21,"Mask, The (1994)",4.0
22,Maverick (1994),4.0
23,Naked Gun 33 1/3: The Final Insult (1994),4.0
24,Speed (1994),3.0
25,True Lies (1994),3.0
26,Addams Family Values (1993),3.0
27,Beverly Hills Cop III (1994),3.0
28,City Slickers II: The Legend of Curly's Gold (1994),4.0
29,Coneheads (1993),3.0
30,Dave (1993),5.0
31,"Firm, The (1993)",4.0
32,"Fugitive, The (1993)",4.0
33,Hot Shots! Part Deux (1993),4.0
34,In the Line of Fire (1993),3.0
35,Jurassic Park (1993),4.0
36,Last Action Hero (1993),3.0
37,Mrs. Doubtfire (1993),5.0
38,Robin Hood: Men in Tights (1993),3.0
39,Sleepless in Seattle (1993),5.0
40,"Three Musketeers, The (1993)",4.0
41,Ghost (1990),3.0
42,Aladdin (1992),5.0
43,Terminator 2: Judgment Day (1991),3.0
44,Dances with Wolves (1990),4.0
45,Batman (1989),3.0
46,Snow White and the Seven Dwarfs (1937),5.0
47,Beauty and the Beast (1991),5.0
48,Pretty Woman (1990),4.0
